"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDEXPRD","TOT","PC_GDP","A","2019",3.19154148618093,
"BEL","GDEXPRD","TOT","PC_GDP","A","2019",2.88967044117502,
"CAN","GDEXPRD","TOT","PC_GDP","A","2019",1.53809734834977,
"CZE","GDEXPRD","TOT","PC_GDP","A","2019",1.94165651470175,
"DNK","GDEXPRD","TOT","PC_GDP","A","2019",2.95618574904396,
"FIN","GDEXPRD","TOT","PC_GDP","A","2019",2.79491885907409,
"FRA","GDEXPRD","TOT","PC_GDP","A","2019",2.19145560306517,
"DEU","GDEXPRD","TOT","PC_GDP","A","2019",3.17607457125875,
"GRC","GDEXPRD","TOT","PC_GDP","A","2019",1.27394114547478,
"HUN","GDEXPRD","TOT","PC_GDP","A","2019",1.47788146764257,
"ISL","GDEXPRD","TOT","PC_GDP","A","2019",2.34511948694923,
"IRL","GDEXPRD","TOT","PC_GDP","A","2019",1.22823714466444,
"ITA","GDEXPRD","TOT","PC_GDP","A","2019",1.44766556390373,
"JPN","GDEXPRD","TOT","PC_GDP","A","2019",3.24073389203157,
"KOR","GDEXPRD","TOT","PC_GDP","A","2019",4.64018893604036,
"LUX","GDEXPRD","TOT","PC_GDP","A","2019",1.19181937698673,
"MEX","GDEXPRD","TOT","PC_GDP","A","2019",0.28396710883416,
"NLD","GDEXPRD","TOT","PC_GDP","A","2019",2.16279727046197,
"NOR","GDEXPRD","TOT","PC_GDP","A","2019",2.15304072761349,
"POL","GDEXPRD","TOT","PC_GDP","A","2019",1.32378795124267,
"PRT","GDEXPRD","TOT","PC_GDP","A","2019",1.4026485969382,
"SVK","GDEXPRD","TOT","PC_GDP","A","2019",0.82734571522728,
"ESP","GDEXPRD","TOT","PC_GDP","A","2019",1.25099214956635,
"SWE","GDEXPRD","TOT","PC_GDP","A","2019",3.40413642575228,
"TUR","GDEXPRD","TOT","PC_GDP","A","2019",1.06369576450232,
"GBR","GDEXPRD","TOT","PC_GDP","A","2019",1.75593959203476,
"USA","GDEXPRD","TOT","PC_GDP","A","2019",3.06747570337755,
"EST","GDEXPRD","TOT","PC_GDP","A","2019",1.61124703933001,
"ISR","GDEXPRD","TOT","PC_GDP","A","2019",4.93443121798187,
"SVN","GDEXPRD","TOT","PC_GDP","A","2019",2.04423270119041,
"OECD","GDEXPRD","TOT","PC_GDP","A","2019",2.47473982050261,
"LVA","GDEXPRD","TOT","PC_GDP","A","2019",0.6404422787363,
"LTU","GDEXPRD","TOT","PC_GDP","A","2019",0.99158622618977,
"COL","GDEXPRD","TOT","PC_GDP","A","2019",0.28065609159211,
