"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","INWARD","PC_GDP","A","2016",46.609029549642,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2017",49.340244533079,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2018",48.237853294004,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2019",50.262199405141,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2016",39.613840618608,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2017",47.404750525901,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2018",42.911118208094,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2019",45.514408822214,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2016",108.64659851744,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2017",115.16529420304,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2018",90.477470049559,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2019",92.342786347754,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2016",59.126692394406,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2017",56.999558733606,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2018",49.224799148117,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2019",61.204754437073,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2016",62.460625420177,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2017",72.248438413805,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2018",65.977823362406,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2019",67.888065041673,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2016",31.7465058567,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2017",35.179523373559,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2018",32.684725516897,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2019",35.006144096277,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2017",34.170894322809,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2018",25.198574580579,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2019",30.920806636348,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2016",28.099118322962,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2017",31.571484544408,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2018",29.432377118602,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2019",31.988066557968,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2016",23.23314120895,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2017",27.038873474059,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2018",25.986684014615,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2019",26.502803449545,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2016",12.600069428582,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2017",16.407654852843,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2018",16.382586787607,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2019",21.515639730975,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2016",64.859718038577,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2017",66.098973844983,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2018",60.676232428666,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2019",60.869044739414,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2016",47.729186088739,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2017",41.366604298062,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2018",33.99964253429,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2019",34.648214639057,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2016",279.53759695975,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2017",315.20042374405,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2018",274.01942799058,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2019",296.45392837601,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2016",18.785975831491,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2017",21.650725608355,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2018",20.777336621899,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2019",22.244890357056,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2016",3.9941566491294,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2017",4.1595793231601,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2018",4.1277819499209,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2019",4.3446434232086,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2016",11.664398835393,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2017",12.98502403009,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2018",12.435698963628,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2016",444.41310738097,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2017",382.95151761844,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2018",232.2997262838,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2019",225.28032752508,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2016",40.146577159789,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2017",42.838215336288,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2018",42.190243801737,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2019",45.120693134184,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2016",199.645191211,
