"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TAXREV","TOT","PC_GDP","A","2019",42.444,
"BEL","TAXREV","TOT","PC_GDP","A","2019",42.916,
"CAN","TAXREV","TOT","PC_GDP","A","2019",33.455,
"CZE","TAXREV","TOT","PC_GDP","A","2019",34.927,
"DNK","TAXREV","TOT","PC_GDP","A","2019",46.337,
"FIN","TAXREV","TOT","PC_GDP","A","2019",42.189,
"FRA","TAXREV","TOT","PC_GDP","A","2019",45.401,
"DEU","TAXREV","TOT","PC_GDP","A","2019",38.812,
"GRC","TAXREV","TOT","PC_GDP","A","2019",38.707,
"HUN","TAXREV","TOT","PC_GDP","A","2019",35.771,
"ISL","TAXREV","TOT","PC_GDP","A","2019",36.075,
"IRL","TAXREV","TOT","PC_GDP","A","2019",22.656,
"ITA","TAXREV","TOT","PC_GDP","A","2019",42.446,
"KOR","TAXREV","TOT","PC_GDP","A","2019",27.377,
"LUX","TAXREV","TOT","PC_GDP","A","2019",39.222,
"MEX","TAXREV","TOT","PC_GDP","A","2019",16.471,
"NLD","TAXREV","TOT","PC_GDP","A","2019",39.333,
"NZL","TAXREV","TOT","PC_GDP","A","2019",32.312,
"NOR","TAXREV","TOT","PC_GDP","A","2019",39.928,
"POL","TAXREV","TOT","PC_GDP","A","2019",35.385,
"PRT","TAXREV","TOT","PC_GDP","A","2019",34.845,
"SVK","TAXREV","TOT","PC_GDP","A","2019",34.736,
"ESP","TAXREV","TOT","PC_GDP","A","2019",34.649,
"SWE","TAXREV","TOT","PC_GDP","A","2019",42.909,
"CHE","TAXREV","TOT","PC_GDP","A","2019",28.529,
"TUR","TAXREV","TOT","PC_GDP","A","2019",23.079,
"GBR","TAXREV","TOT","PC_GDP","A","2019",32.983,
"USA","TAXREV","TOT","PC_GDP","A","2019",24.466,
"CHL","TAXREV","TOT","PC_GDP","A","2019",20.657,
"EST","TAXREV","TOT","PC_GDP","A","2019",33.073,
"ISR","TAXREV","TOT","PC_GDP","A","2019",30.474,
"SVN","TAXREV","TOT","PC_GDP","A","2019",37.651,
"OAVG","TAXREV","TOT","PC_GDP","A","2019",33.84,
"LVA","TAXREV","TOT","PC_GDP","A","2019",31.201,
"LTU","TAXREV","TOT","PC_GDP","A","2019",30.337,
"COL","TAXREV","TOT","PC_GDP","A","2019",19.677,
